Q1373429	video editing software
Q1193246	widget toolkit
Q131669	Linux distribution
Q205020	desktop environment
Q14656	Unix-like operating system
Q9135	operating system
Q166142	application
Q337820	graphics library
Q758870	digital audio editor
Q756637	application framework
Q54366	packet analyzer
P580	start time
P582	end time
Q7058673	video game series
Q210167	video game developer
Q4830453	business
Q6881511	enterprise
Q218616	proprietary software
Q7397	software
Q341	free software
Q176165	database management system
Q2462003	instant messaging client
Q3220391	social networking service
Q3496042	Security-focused operating system
Q157031	foundation
Q15633582	MediaWiki website
Q5	human
Q3327521	online dictionary
Q7889	video game
Q9143	programming language
Q1137109	video game publisher
Q3932296	relational database management system
Q891723	public company
Q15562063	audio software
Q266990	Netscape
Q1186723	distributed revision control system
Q1328899	standards organization
Q1058914	software company
Q28057052	clustering software
Q235557	file format
Q219577	holding company
Q167555	optical character recognition
Q28057030	ERP software
Q20203641	console line
Q43229	organization
Q658255	subsidiary company
Q1371279	server software
Q1130645	open-source software
Q20726407	Wikidata tool
Q271680	software framework
Q188860	software library
Q131093	content management system
Q506883	free and open-source software
Q12772052	multi-paradigm programming language
Q1993334	interpreted language
Q21562092	imperative programming language
Q28922885	procedural programming language
Q899523	object-oriented programming language
Q187432	scripting language
Q4462013	translator
Q1641122	online service provider
Q229371	3D computer graphics software
Q173212	computer architecture
Q1074539	integrated circuit design
Q225147	32-bit
Q252132	64-bit computing
Q1330336	web framework
Q194166	consortium
Q79913	non-governmental organization
Q1194093	international non-governmental organization
Q48204	association
Q530002	requirements management software
Q20825628	GNU package
Q836795	boot loader
Q104851	firmware
Q1229611	software distribution
Q170584	project
Q2989352	free software community
Q830340	computer algebra system
Q31855	research institute
Q1144882	declarative programming language
Q691358	domain-specific language
Q845739	query language
Q24964334	Infrastructure as Code
Q29032804	configuration manager
Q1589009	privately held company
Q483639	cloud computing
Q21169670	machine learning Framework
Q196776	certificate authority
Q55190325	musical instrument manufacturing company
Q60031086	branch of pseudoscience
Q21055677	NP-complete game
Q163740	nonprofit organization
Q20031260	IT consulting company
Q570871	email client
Q5225895	public limited company
Q783794	company
Q19723444	cell phone model
Q277759	book series
Q210337	media player
Q708676	charitable organization
Q865817	Java applet
Q18325436	501(c)(3) organization
Q778575	conglomerate
Q4182287	web search engine
Q56062429	JVM language
Q11410	game
Q26085352	file format family
Q537993	database engine
Q386724	work
Q2349394	Virtual learning environment
Q283770	vulnerability scanner
Q1351368	archive file format
Q25595203	Internet forum software
Q1924397	measurement technique
Q49773	social movement
Q638608	software development
Q40056	computer program
Q167772	digital container format
Q1345239	entropy encoding
Q2755432	compression algorithm
Q845620	mobile browser
Q848991	browser game
Q828322	platform game
Q93249	antivirus
P585	point in time
